cve,year,se1_0,se1_1,se1_3,se1_4,se1_5,se1_6,se1_7,se1_8,se1_9,rs_w1,rs_w2,rs_w3,rs_w4,rs_w5,rs_w6,rs_w7,rs_w8,rs_w9,rs_w10,rs_w11,rs_w12,rs_w13,rs_w14,rs_w15,rs_w16,rs_w17,rs_w18,rs_w19,rs_w20,rs_w21,rs_w22,rs_w23,rs_w24,rs_w25,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,mun,trat,pto
O29,2003,12,0,113,60,0,405,0,79,30,140,336,124,30,27,17,12,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,356,240,0,0,0,0,Tanhuato,0,0
O30,2003,62,0,344,17,0,250,0,84,38,215,362,143,41,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,110,602,0,0,0,0,Brisenas,0,0
O31,2003,0,0,26,0,0,87,6,5,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,51,21,0,0,0,0,Zinaparo,0,0
O32,2003,12,0,223,47,36,227,12,35,12,272,221,64,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,207,181,121,0,0,0,Churintzio,0,0
O33,2003,1004,0,601,193,0,576,62,122,40,373,967,566,294,110,92,65,35,4,12,6,0,25,4,12,10,5,2,2,0,0,6,4,0,4,159,559,867,1013,0,0,0,Numaran,0,0
O39,2003,583,0,502,528,162,1532,162,522,368,1578,1588,673,248,65,39,26,52,60,14,6,6,2,0,2,0,0,0,0,0,0,0,0,0,0,512,1536,2311,0,0,0,0,Tangancicuaro,1,0
O40,2003,275,36,2283,361,276,1151,243,327,217,1798,2154,526,340,128,45,23,36,40,19,15,13,18,0,2,0,0,0,0,0,0,0,0,0,0,646,1775,2495,253,0,0,0,Purepero,1,0
O41,2003,157,43,0,1,0,156,0,0,102,186,238,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,124,299,0,0,0,0,Tlazazalca,0,0
O43,2003,0,0,24,0,0,72,0,134,12,67,41,12,17,24,24,13,18,6,6,3,0,1,8,0,0,0,0,0,2,0,0,0,0,0,48,60,134,0,0,0,0,Cojumatlan de Regules,0,0
O50,2003,48,0,493,44,0,213,65,90,111,261,514,119,66,64,16,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,311,331,283,0,0,0,Chavinda,0,0
O51,2003,24,0,613,101,0,519,60,140,243,674,758,154,61,29,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,774,624,0,0,0,0,Tangamandapio,1,0
O56,2003,217,0,1106,370,249,2087,94,733,203,1218,2432,681,264,59,96,119,82,34,26,8,4,10,4,6,0,14,2,0,0,0,0,0,0,0,558,1903,2598,0,0,0,0,Yurecuaro,0,0
O60,2003,219,0,143,79,18,345,78,13,116,290,601,59,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,316,531,0,0,0,0,Ecuandureo,0,0
O62,2003,0,0,0,29,0,581,0,71,74,145,199,119,102,72,28,22,26,17,2,8,10,0,5,0,0,0,0,0,0,0,0,0,0,0,37,198,217,303,0,0,0,Villamar,0,0
O69,2003,294,0,167,23,0,167,0,93,21,455,220,58,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,226,373,0,0,0,0,Ixtlan,0,0
O78,2003,36,0,941,11,0,387,295,232,99,638,859,273,186,4,17,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,425,854,486,0,0,0,Marcos Castellanos,0,0
C82,2003,208,20,3309,2057,1977,5162,1028,2386,3145,3458,7231,2617,1212,937,662,495,437,388,327,278,231,156,136,113,102,109,90,81,31,43,36,19,14,65,1982,5081,8018,3230,725,256,0,Hidalgo,1,0
C85,2003,5,0,654,139,0,75,0,26,6,69,195,251,152,96,36,39,3,0,12,16,34,2,0,0,0,0,0,0,0,0,0,0,0,0,23,203,236,443,0,0,0,Jungapeo,1,0
D09,2003,428,0,5687,1755,674,11695,2254,3782,4819,5680,11697,4050,2100,1420,1078,887,818,564,419,363,258,343,219,179,195,113,95,65,60,83,49,44,24,126,3026,6940,11627,7026,868,0,0,Zitacuaro,1,0
H44,2003,12,0,201,167,0,109,0,143,135,230,419,104,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,20,672,0,0,0,0,Angangueo,0,0
N97,2003,0,24,3234,67,48,156,0,115,112,795,1411,635,270,147,176,72,93,16,31,23,14,16,34,10,0,0,0,0,0,0,1,0,0,12,58,326,1424,1230,646,72,0,Tlalpujahua,0,0
O27,2003,0,0,550,35,0,64,12,11,0,304,300,54,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,146,484,0,0,0,0,Ocampo,1,0
O34,2003,29,24,1216,791,0,3808,399,1963,669,1627,4107,1321,645,372,241,180,87,66,36,31,37,17,10,8,40,16,14,2,12,4,1,2,2,21,731,2356,4187,1625,0,0,0,Maravatio,0,0
O35,2003,12,0,587,240,60,122,4,495,106,254,621,275,174,66,56,57,33,14,17,14,20,12,0,0,0,0,0,13,0,0,0,0,0,0,46,300,416,800,64,0,0,Contepec,0,0
O36,2003,7,583,277,374,5,2449,113,829,492,1337,1719,769,588,160,132,126,56,71,53,14,22,35,8,15,4,2,0,8,4,0,0,0,2,4,448,1096,2256,1329,0,0,0,Huetamo,0,0
O37,2003,137,0,113,97,0,478,78,72,0,216,440,174,95,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,246,626,62,0,0,0,San Lucas,0,0
O44,2003,9,72,382,24,0,240,0,15,0,195,391,140,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,290,367,0,0,0,0,Irimbo,0,0
O45,2003,0,0,45,0,0,0,60,0,0,39,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,78,0,0,0,0,0,Aporo,0,0
O46,2003,723,0,258,201,161,717,23,323,189,675,1141,282,160,85,37,51,42,53,27,6,18,4,6,2,6,0,0,0,0,0,0,0,0,0,297,689,1322,287,0,0,0,Tuxpan,1,0
O47,2003,60,0,104,0,0,160,0,0,61,95,266,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,118,243,0,0,0,0,Senguio,0,0
O64,2003,0,0,0,106,0,160,0,0,0,18,110,100,17,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,12,173,0,0,0,0,Tiquicheo,0,0
O66,2003,0,0,24,0,0,323,0,36,0,60,136,71,42,44,14,4,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,33,89,261,0,0,0,0,Tuzantla,0,0
O79,2003,0,0,0,23,0,106,0,7,0,19,10,77,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,97,0,0,0,0,Juarez,1,0
C87,2003,515,958,9391,8700,2106,15962,6112,10647,6161,6067,19001,7065,5005,3789,3109,2426,1989,1877,1443,1281,1046,728,794,659,577,498,462,382,319,290,228,303,323,652,3695,11665,18432,14095,2575,4496,5238,Lazaro Cardenas,0,0
O81,2004,152,0,139,189,46,350,0,217,330,77,390,313,201,188,81,30,18,29,11,9,8,7,5,12,12,7,12,7,4,3,0,1,0,0,74,228,990,131,0,0,0,Coahuayana,0,0
O82,2004,43,925,9,156,0,163,93,0,0,15,143,374,177,71,76,61,46,48,56,65,69,35,34,27,29,20,12,7,3,8,3,0,0,12,37,36,510,806,0,0,0,Aquila,0,0
C89,2004,2611,492,51913,13486,4883,68120,15525,50285,29430,31303,55866,36544,24312,16758,12106,9633,7833,6099,5516,4074,3941,2983,2688,2285,2079,1651,1511,1283,1185,1136,923,758,725,3061,15127,40734,76202,55646,20972,9789,16644,Morelia,0,0
C91,2004,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nocupetaro,0,0
C95,2004,402,0,3005,978,591,6836,1272,3564,3262,3689,7879,2993,1423,874,549,392,402,308,224,142,112,114,115,136,170,46,49,59,25,39,17,8,14,118,1782,5159,7125,5835,0,0,0,Patzcuaro,1,0
C97,2004,10,0,354,228,0,1375,21,350,301,992,966,332,190,65,56,10,6,6,0,2,6,4,0,2,2,0,2,0,0,0,0,0,0,0,357,1219,1063,0,0,0,0,Quiroga,1,0
C99,2004,1662,24,1354,281,191,3110,188,782,797,1479,3209,1038,781,296,165,120,116,104,62,69,14,59,20,43,1,33,19,45,20,2,0,12,1,42,542,1906,3605,1552,377,93,300,Tacambaro,1,0
D04,2004,66,0,619,27,0,286,12,71,37,153,526,94,28,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,278,159,249,337,0,0,Turicato,1,0
D07,2004,464,36,8008,2381,559,8149,1632,4216,1771,5711,9347,3356,1913,1198,1044,805,610,369,314,313,305,200,192,202,152,107,92,64,74,50,57,41,29,261,3010,6605,10075,4881,1477,896,0,Zacapu,0,0
D10,2004,380,98,2694,912,0,1929,140,272,0,1033,1992,1637,622,348,232,181,112,95,66,45,13,12,4,14,0,0,12,0,0,0,0,0,0,0,168,967,3207,1331,752,0,0,Tarimbaro,1,0
K77,2004,36,0,255,34,24,105,0,50,12,211,271,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,224,188,0,0,0,0,Acuitzio,1,0
K78,2004,907,0,500,100,0,1690,806,390,184,1132,1580,513,353,227,306,108,62,72,56,10,8,10,2,4,9,0,0,0,2,0,0,2,0,0,480,1179,1965,876,0,0,0,Ario,1,0
K79,2004,6,0,334,0,0,45,0,62,120,73,322,128,5,24,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,63,179,304,0,0,0,Erongaricuaro,1,0
K80,2004,96,0,36,183,0,616,17,203,127,224,513,196,58,45,39,22,18,19,12,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,176,319,650,15,0,0,0,La Huacana,0,0
