year,mun,mean_workers_year,pob,tasa,log_tasa,gini_mean,pto,trat_2
2013,Coeneo,431,41286,10.439374121978394,2.34558463065535,0.186321509,1,0
2013,Jimenez,58,26384,2.1983020012128565,0.7876852447291763,0.295420445,1,0
2013,Huaniqueo,199,15945,12.480401379742865,2.5241595242624713,0.138783948,1,0
2013,Caracuaro,353,18985,18.593626547274166,2.9228188632495313,NA,NA,NA
2013,Cuitzeo,922,57495,16.036177058874685,2.7748472360559657,0.348360754,1,0
2013,Chucandiro,1,10205,0.09799118079372857,-2.322877796261808,0.166666667,1,0
2013,Huandacareo,530,23251,22.79471850673089,3.1265288646850498,0.228732193,1,0
2013,Copandaro,232,18227,12.728370000548637,2.5438333604235135,0.046750189,1,0
2013,Tzitzio,333,18951,17.57163210384676,2.8662857893957705,0,1,0
2013,Apatzingan,8566,249344,34.354145277207394,3.536722689035356,0.422536325,1,1
2013,Charapan,1215,25162,48.28709959462682,3.87716443584571,0.231582253,1,0
2013,Cheran,2257,37784,59.734279059919544,4.08990604422372,0.207866961,1,0
2013,Gabriel Zamora,1205,42764,28.17790665045365,3.3385382187735018,0.329919869,1,0
2013,Mugica,2366,90490,26.14653552878771,3.26371669717529,0.377817773,1,0
2013,Nuevo Urecho,498,16998,29.297564419343452,3.3775043869482184,0.120777251,1,0
2013,Paracuaro,612,51818,11.810567756378093,2.4689947032601864,0.220226646,1,0
2013,Paracho,1406,72427,19.41264997859914,2.965924914322573,0.387234645,1,0
2013,Taretan,558,28354,19.679762996402623,2.979590848685871,0.445586406,1,1
2013,Uruapan,24900,656162,37.947945781681966,3.636215372776631,0.421640977,1,1
2013,Tingambato,919,29349,31.312821561211624,3.4440276482122854,0.293420998,1,1
2013,Tepalcatepec,1458,46781,31.16649921976871,3.439343774984357,0.395792802,1,0
2013,Buenavista,1434,86609,16.557170732833768,2.806819284894121,0.230922613,1,0
2013,Ziracuaretiro,693,32411,21.381629693622536,3.06253212783796,0.240320341,1,1
2013,Nuevo Parangaricutiro,2533,39084,64.80912905536792,4.171446473919579,0.237709913,1,1
2013,Nahuatzen,1017,57607,17.654104535907095,2.8709683079528387,0.201560433,1,0
2013,Coalcoman,533,37925,14.054054054054054,2.6429108989312486,0.355877988,1,0
2013,Tumbiscatio,391,15284,25.582308296257523,3.241901030400712,0.082943134,1,0
2013,Aguililla,725,32072,22.60538787727613,3.118188279514469,0.281483451,1,0
2013,Tancitaro,1089,61361,17.747429148807875,2.876240668744699,0.354042503,1,1
2013,Cotija,309,39733,7.776910880124833,2.051159200231541,0.388970368,1,1
2013,Chilchota,799,75154,10.631503313196903,2.363821604104217,0.226131803,1,1
2013,Jacona,1121,131060,8.553334350679078,2.146321189460809,0.421599196,1,0
2013,Jiquilpan,3829,69602,55.01278698887963,4.0075656489175975,0.420495132,1,0
2013,La Piedad,5407,203884,26.519981950520886,3.27789848471867,0.418281754,1,0
2013,Los Reyes,2387,137232,17.393902296840388,2.8561197020907643,0.409846072,1,1
2013,Periban,1223,53234,22.97403914791299,3.1343648457312057,0.249357975,1,1
2013,Sahuayo,3818,149097,25.607490425696025,3.242884903441771,0.361010255,1,0
2013,Tinguindin,307,27892,11.00674028395239,2.398507838228433,0.38343498,1,1
2013,Tocumbo,1247,23684,52.65157912514778,3.963696231010507,0.46946319,1,1
2013,Venustiano Carranza,578,46970,12.305727059825422,2.510064768633474,0.257075433,1,0
2013,Zamora,15429,383886,40.19161938700552,3.6936585009314054,0.435263389,1,0
2013,Penjamillo,642,34040,18.860164512338425,2.9370519999847877,0.43747598,1,0
2013,Pajacuaran,319,39867,8.001605337748012,2.079642188767364,0.165212446,1,0
2013,Vista Hermosa,593,39220,15.119836817950025,2.7160075782295254,0.202419952,1,0
2013,Tanhuato,426,30586,13.927940887987967,2.633896958343439,0.330586572,1,0
2013,Zinaparo,174,6491,26.806347250038517,3.2886386971631976,0,1,0
2013,Numaran,207,19161,10.803193987787694,2.3798418300178072,0.356248068,1,0
2013,Tangancicuaro,666,66984,9.94267287710498,2.2968358856382585,0.272235422,1,1
2013,Purepero,609,30740,19.81132075471698,2.986253529599447,0.324974344,1,1
2013,Tlazazalca,348,13512,25.75488454706927,3.2486243002689754,0.23586333,1,0
2013,Cojumatlan de Regules,260,20311,12.800945300576043,2.549519019806179,0.346818073,1,0
2013,Chavinda,127,20216,6.282152750296794,1.837712716372698,0.332510744,1,0
2013,Tangamandapio,514,58006,8.861152294590214,2.1816768119832877,0.213737694,1,1
2013,Yurecuaro,882,61390,14.367160775370582,2.6649451005673863,0.337764204,1,0
2013,Ecuandureo,199,25118,7.9226053029699814,2.0697201041285576,0.34227418,1,0
2013,Villamar,588,33349,17.631713094845423,2.86969916099405,0.283940634,1,0
2013,Ixtlan,274,27623,9.919270173406218,2.294479347361074,0.158368614,1,0
2013,Marcos Castellanos,953,26666,35.738393459836495,3.576225557960935,0.178925915,1,0
2013,Hidalgo,6050,240536,25.152160175607808,3.2249437845315363,0.431100671,1,1
2013,Jungapeo,1344,39969,33.62606019665241,3.5153013674369102,0.3254514,1,1
2013,Zitacuaro,12902,312063,41.34421575130663,3.721932526589502,0.410029675,1,1
2013,Angangueo,804,21644,37.146553317316574,3.6148709893984776,0.309525051,1,0
2013,Tlalpujahua,1213,55765,21.75199497892944,3.07970547649755,0.359669413,1,0
2013,Ocampo,222,46544,4.769680302509453,1.5622792801194336,0.14151033,1,1
2013,Maravatio,4128,165991,24.868818188937954,3.213614737142113,0.368218282,1,0
2013,Contepec,1750,67192,26.044767234194545,3.2598168740942337,0.271963875,1,0
2013,Huetamo,2540,84515,30.053836597053778,3.4029903266104413,0.389146173,1,0
2013,San Lucas,1200,36535,32.84521691528671,3.4918061305329107,0.286894195,1,0
2013,Irimbo,342,30309,11.283777095912106,2.4233660389489002,0.182674723,1,0
2013,Aporo,226,6632,34.077201447527145,3.528628581439292,0.110144643,1,0
2013,Tuxpan,399,51957,7.679427218661585,2.0385449634748474,0.368834329,1,1
2013,Senguio,615,37734,16.298298616632213,2.7910607230170963,0.179622454,1,0
2013,Tiquicheo,376,28272,13.299377475947935,2.587717227812554,0.282514336,1,0
2013,Tuzantla,321,31804,10.093070054081247,2.3118490550907786,0.100612339,1,0
2013,Arteaga,322,43996,7.318847167924357,1.9904528248495381,0.336857395,1,0
2013,Lazaro Cardenas,7393,368379,20.0690050192872,2.9991765860580246,0.450017662,1,0
2014,Chinicuila,102,10587,9.634457353357892,2.2653459799230284,NA,NA,NA
2014,Coahuayana,402,30806,13.049405959877946,2.5687426124167554,0.341892914,1,0
2014,Aquila,718,49373,14.542361209567982,2.6770658529764555,0.436394597,1,0
2014,Morelia,50851,1554674,32.70846492576579,3.4876339106344956,0.451535751,1,0
2014,Nocupetaro,279,16359,17.054832202457362,2.8364335772093314,0.136018481,1,0
2014,Patzcuaro,7443,184138,40.420771377988245,3.699343795860379,0.422530833,1,1
2014,Quiroga,740,52467,14.104103531743764,2.6464657856630516,0.296759792,1,1
2014,Tacambaro,3274,147732,22.16175236238594,3.098367936477602,0.397401576,1,1
2014,Turicato,1556,62042,25.079784662003156,3.2220621296833283,0.198968997,1,1
2014,Zacapu,2149,149673,14.357967034802536,2.6643049822053215,0.429919023,1,0
2014,Tarimbaro,2427,186127,13.039483793323912,2.5679819693134043,0.37337168,1,1
2014,Acuitzio,442,22269,19.8482194979568,2.9881143052741788,0.165360852,1,1
2014,Ario,785,70980,11.059453367145675,2.403285570564058,0.324382816,1,1
2014,Erongaricuaro,255,30046,8.48698662051521,2.138534004518194,0.217365228,1,1
2014,La Huacana,2312,63969,36.142506526598815,3.5874696387800613,0.355281045,1,0
